Main metric,Correlation metric,title,copy,how_it_works
RHR(t),REM(t),Improve REM Sleep to support next-day RHR,"On nights when your REM Sleep dropped below [X] min, your next-day RHR tended to rise above [Y] bpm.","REM Sleep is one of the main windows where your body lowers overnight stress load, so when REM Sleep is lower, RHR has less chance to fully come down by the next morning."
RHR rolling mean (7-day),Training Intensity rolling mean (7-day),Improve recovery quality to absorb trainings more effectively,"When your 7-day average training intensity stayed above [X], your 7-day average RHR tended to rise above [Y] bpm.","This suggests your body is not fully absorbing repeated training stress, making recovery quality especially important for maintaining RHR over time."
RHR(t),AwakePhase(t),Reduce overnight awake time to support next-day RHR,"On nights when your awake time rose above [X] minutes, your next-day RHR tended to rise above [Y] bpm.","Spending more time awake during the night means less total sleep, poorer overnight recovery, and higher RHR by morning.
"
RHR(t),RHR(t-1),Reduce RHR carryover for a full return to baseline by morning,"When your RHR rose above [X] bpm, it often remained constrained the next morning instead of fully rebounding toward baseline.",This suggests your recovery speed is currently too slow for RHR to fully return to baseline by the next morning.
TotalSleep(t),Training Intensity(t-1),Improve sleep duration after hard training days,"On days when your training intensity reached [X], your total sleep that night tended to fall below [Y] hours.","This suggests that harder sessions are making it harder for your body to fully settle into rest, reducing how much total sleep you get that night."
TotalSleep(t),Disruptions(t),Reduce disruptions to protect total sleep,"On nights when your sleep disruptions rose above [X] per hour, your total sleep that night tended to fall below [Y] hours.","Disrupted sleep is cutting into your total time asleep, reducing the amount of rest your body is able to get across the night."
TotalSleep(t),AwakePhase(t),Reduce overnight awake time to increase sleep duration,"On nights when your awake time rose above [X] minutes, your total sleep that night tended to fall below [Y] hours.","Frequent awake phases are cutting into your total time asleep, reducing the amount of rest your body is able to get across the night."
TotalSleep rolling mean (7-day),Training Intensity rolling mean (7-day),Protect sleep duration as training load rises,"When your 7-day average training intensity stayed above [X], your 7-day average sleep duration tended to remain below [Y] hours.","Your sleep duration is dropping during harder training weeks, reducing recovery time when your body needs it most."
Disruptions(t),Training Intensity(t-1),Improve sleep continuity after hard training days,"On days when your training intensity reached [X], your sleep disruptions that night tended to rise above [Y] per hour.","This suggests that harder sessions are making it harder for your body to fully settle into rest, increasing how often your sleep gets disrupted through the night."
Disruptions rolling mean (7-day),Training Intensity rolling mean (7-day),Protect sleep continuity as training load rises,"When your 7-day average training intensity stayed above [X], your 7-day average sleep disruptions tended to remain above [Y] per hour.","Your sleep disruptions are increasing during harder training weeks, interrupting recovery when your body needs it most."
REM(t),Training Intensity(t-1),Support recovery to protect REM Sleep after hard training days,"On days when your training intensity reached [X], your REM Sleep that night tended to fall below [Y] hours.","This suggests that harder sessions are making it harder for your body to fully settle into rest, reducing how much REM Sleep you get that night."
REM(t),Disruptions(t),Reduce sleep disruptions to protect REM Sleep,"On nights when your sleep disruptions rose above [X] per hour, your REM Sleep that night tended to fall below [Y] hours.","Disrupted sleep is cutting into your REM Sleep, reducing the amount of rest your body is able to get across the night."
REM(t),AwakePhase(t),Reduce overnight awake time to increase REM Sleep duration,"On nights when your awake time rose above [X] minutes, your REM Sleep that night tended to fall below [Y] hours.","Frequent awake phases are cutting into your REM Sleep, reducing the amount of rest your body is able to get across the night."
REM rolling mean (7-day),Training Intensity rolling mean (7-day),Protect REM Sleep as training load rises,"When your 7-day average training intensity stayed above [X], your 7-day average REM Sleep tended to remain below [Y] hours.","Your REM Sleep is dropping during harder training weeks, reducing recovery time when your body needs it most."
DeepSleep(t),Training Intensity(t-1),Support recovery to protect Deep Sleep after hard training days,"On days when your training intensity reached [X], your Deep Sleep that night tended to fall below [Y] hours.","This suggests that harder sessions are making it harder for your body to fully settle into rest, reducing how much Deep Sleep you get that night."
DeepSleep(t),Disruptions(t),Reduce sleep disruptions to protect Deep Sleep,"On nights when your sleep disruptions rose above [X] per hour, your Deep Sleep that night tended to fall below [Y] hours.","Disrupted sleep is cutting into your Deep Sleep, reducing the amount of rest your body is able to get across the night."
DeepSleep(t),AwakePhase(t),Reduce overnight awake time to increase Deep sleep duration,"On nights when your awake time rose above [X] minutes, your Deep Sleep that night tended to fall below [Y] hours.","Frequent awake phases are cutting into your Deep Sleep, reducing the amount of rest your body is able to get across the night."
DeepSleep rolling mean (7-day),Training Intensity rolling mean (7-day),Protect Deep Sleep as training load rises,"When your 7-day average training intensity stayed above [X], your 7-day average Deep Sleep tended to remain below [Y] hours.","Your Deep Sleep is dropping during harder training weeks, reducing recovery time when your body needs it most."
LightSleep(t),Training Intensity(t-1),Support recovery to limit Light Sleep duration after hard training,"On days when your training intensity reached [X], your Light Sleep that night tended to rise above [Y] hours.","This suggests that harder sessions are making it harder for your body to fully settle into rest, increasing how much Light Sleep you get that night."
LightSleep(t),Disruptions(t),Reduce disruptions to limit Light Sleep duration,"On nights when your sleep disruptions rose above [X] per hour, your Light Sleep that night tended to rise above [Y] hours.","Disrupted sleep is cutting into your Light Sleep, reducing the amount of rest your body is able to get across the night."
LightSleep(t),AwakePhase(t),Reduce awake phases at night to limit Light Sleep,"On nights when your awake time rose above [X] minutes, your Light Sleep that night tended to rise above [Y] hours.","Frequent awake phases are increasing your Light Sleep duration, reducing the amount of rest your body is able to get across the night."
LightSleep rolling mean (7-day),Training Intensity rolling mean (7-day),Keep Light Sleep low as training load increases,"When your 7-day average training intensity stayed above [X], your 7-day average Light Sleep tended to remain above [Y] hours.","Your Light Sleep is rising during harder training weeks, reducing recovery time when your body needs it most."
Awake(t),Training Intensity(t-1),Support recovery to reduce awake phases after hard training,"On days when your training intensity reached [X], your nightly awake time that night tended to rise above [Y] hours.","This suggests that harder sessions are making it harder for your body to fully settle into rest, increasing how much Awake time you have that night."
Awake(t),Disruptions(t),Reduce sleep disruptions to lower awake time at night,"On nights when your sleep disruptions rose above [X] per hour, your nightly awake time that night tended to rise above [Y] hours.","Disrupted sleep is increasing your Light Sleep, reducing the amount of rest your body is able to get across the night."
Awake rolling mean (7-day),Training Intensity rolling mean (7-day),Keep awake phases low as training load rises,"When your 7-day average training intensity stayed above [X], your 7-day average nightly awake time tended to remain above [Y] hours.","Your awake time is rising during harder training weeks, reducing recovery time when your body needs it most."
